uidA,uidB,Predicted Classes,Probability Score,Regression Value,mean_prob_aff,stringdb_check,score_norm,uidA_irefindex,uidB_irefindex,method,Host_organism_taxid,numParticipants,irefindex_check,GeneA,GeneB,OP_A,OP_B,OP_check
P02461,Q9BQ52,1,0.551219512,0.401633014,0.476426263,0,,,,,,,0,COL3A1,ELAC2,1,0,1
O75503,P20908,1,0.52195122,0.401681347,0.461816283,0,,,,,,,0,CLN5,COL5A1,0,1,1
P04198,P57729,1,0.551219512,0.401633023,0.476426267,0,,,,,,,0,MYCN,RAB38,1,0,1
B3KS81,Q9UNN8,1,0.551219512,0.401632952,0.476426232,0,,,,,,,0,SRRM5,PROCR,0,1,1
P10451,Q8TAC1,1,0.551219512,0.401633148,0.47642633,0,,,,,,,0,SPP1,RFESD,1,0,1
P19838,P19838,1,0.951219512,0.399932211,0.675575862,0,,P19838,P19838,"psi-mi:""MI:0364""(inferred by curator)",taxid:9606(Homo sapiens),2,1,NFKB1,NFKB1,1,1,1
P17612,Q9BQN1,1,0.551219512,0.401633002,0.476426257,0,,,,,,,0,PRKACA,FAM83C,1,0,1
A0A0B4J1V7,P12643,1,0.551219512,0.401633103,0.476426308,0,,,,,,,0,IGHV7-81,BMP2,0,1,1
P28482,Q96PX1,1,0.551219512,0.401633078,0.476426295,0,,,,,,,0,MAPK1,RNF157,1,0,1
P10451,Q5T0F9,1,0.551219512,0.401632893,0.476426202,0,,,,,,,0,SPP1,CC2D1B,1,0,1
P04637,Q9P0W0,1,0.551219512,0.401633158,0.476426335,0,,,,,,,0,TP53,IFNK,1,0,1
P42574,P42574,1,0.83902439,0.412623296,0.625823843,0,,,,,,,0,CASP3,CASP3,1,1,1
P12931,P53420,1,0.551219512,0.401632861,0.476426187,0,,,,,,,0,SRC,COL4A4,1,0,1
P01258,Q71UM5,1,0.526829268,0.401633049,0.464231159,0,,,,,,,0,CALCA,RPS27L,1,0,1
Q96HV5,Q9UNN8,1,0.551219512,0.401633924,0.476426718,0,,,,,,,0,TMEM41A,PROCR,0,1,1
P10451,Q9BT43,1,0.551219512,0.401632875,0.476426194,0,,,,,,,0,SPP1,POLR3GL,1,0,1
P35354,Q9Y2J2,1,0.551219512,0.40163294,0.476426226,0,,,,,,,0,PTGS2,EPB41L3,1,0,1
P02452,Q96CH1,1,0.526829268,0.401633277,0.464231273,0,,,,,,,0,COL1A1,GPR146,1,0,1
P12524,Q13188,1,0.551219512,0.401632959,0.476426236,0,,,,,,,0,MYCL,STK3,1,0,1
P06401,Q96DZ1,1,0.551219512,0.401632912,0.476426212,0,,,,,,,0,PGR,ERLEC1,1,0,1
P02452,Q96MC9,1,0.526829268,0.401681083,0.464255176,0,,,,,,,0,COL1A1,IKBKE-AS1,1,0,1
P02461,Q9UKQ9,1,0.526829268,0.401681144,0.464255206,0,,,,,,,0,COL3A1,KLK9,1,0,1
P02452,Q9BZG8,1,0.551219512,0.401632968,0.47642624,0,,,,,,,0,COL1A1,DPH1,1,0,1
P04004,P17858,1,0.551219512,0.401632955,0.476426234,0,,,,,,,0,VTN,PFKL,1,0,1
P25940,P54136,1,0.526829268,0.401681236,0.464255252,0,,,,,,,0,COL5A3,RARS1,1,0,1
P08123,Q96BR6,1,0.551219512,0.401632884,0.476426198,0,,,,,,,0,COL1A2,ZNF669,1,0,1
A0A286YF18,P04198,1,0.551219512,0.401632928,0.47642622,0,,,,,,,0,SMIM44,MYCN,0,1,1
